doc_id,doc_number,source,source_kind,title,date,date_display,place,summit_phase,session,principals,venue,persons,topics,verified,url,case_number,doctype,classification
frus1981-88v05-d299,299,FRUS 1981-1988 v05,historical-document,Letter From Secretary of Defense Weinberger to President Reagan,1986-10-09,"October 9, 1986",,pre-summit,,,,Weinberger; Ronald Reagan; Alton Keel; Mikhail S. Gorbachev; Eduard A. Shevardnadze,SDI; INF; Strategic Arms; Nuclear Testing; Human Rights; Regional Issues,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d299,,,
frus1981-88v05-d301,301,FRUS 1981-1988 v05,historical-document,Memorandum of Conversation,1986-10-11,"October 11, 1986, 10:40 a.m.–12:30 p.m.",Reykjavik,summit,Session I - October 11 morning,Reagan-Gorbachev,Hofdi House,Jack F. Matlock Jr.; Eduard A. Shevardnadze; Ronald Reagan; George P. Shultz; Mikhail S. Gorbachev; N. Upsenskiy,SDI; INF; Strategic Arms; Nuclear Testing; Human Rights; Regional Issues; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d301,,,
frus1981-88v05-d302,302,FRUS 1981-1988 v05,historical-document,Memorandum of Conversation,1986-10-11,"October 11, 1986, 3:30–5:40 p.m.",Reykjavik,summit,Session II - October 11 afternoon,Reagan-Gorbachev,Hofdi House,Jack F. Matlock Jr.; Simons; Ronald Reagan; George P. Shultz; Mikhail S. Gorbachev; Eduard A. Shevardnadze; P. Palazhchenko; Paul H. Nitze; Richard Perle; Kampelman; Linhard; Rowny; Kenneth L. Adelman; Karpov; Sergei F. Akhromeyev; Yevgeny Velikhov; Ridgway; Rodman; Parris; Aleksandr A. Bessmertnykh,SDI; INF; Strategic Arms; Nuclear Testing; Human Rights; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d302,,,
frus1981-88v05-d303,303,FRUS 1981-1988 v05,historical-document,Draft Memorandum of Conversation,1986-10-11,"October 11–12, 1986, 8 p.m.–4 a.m.",Reykjavik,summit,Working Group - Night of October 11-12,US-Soviet arms control experts,Hofdi House (draft; disavowed by Ridgway),Rodman; Ridgway; Hartman; Jack F. Matlock Jr.; Simons; Parris; Aleksandr A. Bessmertnykh; Dubinin; Mikol’chak; Primakov; Mikhail S. Gorbachev; Ronald Reagan; Peres; Eduard A. Shevardnadze; George P. Shultz; Bernard Kalb,Human Rights; Regional Issues; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d303,,,
frus1981-88v05-d305,305,FRUS 1981-1988 v05,historical-document,Paper Prepared for President Reagan,1986-10-11,undated,Reykjavik,summit,,,,Ronald Reagan; Jack F. Matlock Jr.; Mikhail S. Gorbachev; Georgy Korniyenko; Paul H. Nitze; Sergei F. Akhromeyev; Palazhchenko; Eduard A. Shevardnadze,SDI; INF; Strategic Arms; Nuclear Testing,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d305,,,
frus1981-88v06-d1,1,FRUS 1981-1988 v06,historical-document,Memorandum for the Record,1986-10-11,undated,Washington,summit,,,,Ronald Reagan; Mikhail S. Gorbachev; George P. Shultz; Donald Regan; John M. Poindexter; Thomas; Hartman; Ridgway; Jack F. Matlock Jr.; Paul H. Nitze; Robert Linhard; Richard Perle; Max Kampelman; Shevardnadze; Rowny; Kenneth L. Adelman; John Moellering; Akhromeyev; Alexander Bessmertnykh; Dubinin; Primakov; Parris; Keel,SDI; INF; Strategic Arms; Nuclear Testing; Human Rights; Regional Issues; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d1,,,
frus1981-88v05-d300,300,FRUS 1981-1988 v05,editorial-note,Editorial Note,1986-10-12,,,summit,,,,Ronald Reagan; Mikhail S. Gorbachev; Jack F. Matlock Jr.,Human Rights; Regional Issues; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d300,,,
frus1981-88v05-d304,304,FRUS 1981-1988 v05,editorial-note,Editorial Note,1986-10-12,,,summit,,,,Ronald Reagan; Mikhail S. Gorbachev; Paul H. Nitze; Sergei F. Akhromeyev; Bob Linhard; George P. Shultz; Kampelman; Perle; Hill; Timbie; Rowny; Karpov; Jack F. Matlock Jr.; Arbatov,SDI; INF; Strategic Arms; Nuclear Testing,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d304,,,
frus1981-88v05-d306,306,FRUS 1981-1988 v05,historical-document,Memorandum of Conversation,1986-10-12,"October 12, 1986, 10 a.m.–1:35 p.m.",Reykjavik,summit,Session III - October 12 morning,Reagan-Gorbachev,Hofdi House,Jack F. Matlock Jr.; George P. Shultz; Parris; Eduard A. Shevardnadze; Uspenskiy; Palazhchenko; Mikhail S. Gorbachev; Thatcher; Ronald Reagan,SDI; INF; Strategic Arms; Nuclear Testing; Human Rights; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d306,,,
frus1981-88v05-d307,307,FRUS 1981-1988 v05,historical-document,Memorandum of Conversation,1986-10-12,"October 12, 1986, 2:05–3 p.m.",Reykjavik,summit,Foreign Ministers - October 12 afternoon,Shultz-Shevardnadze,Hofdi House,George P. Shultz; Eduard A. Shevardnadze; John M. Poindexter; Paul H. Nitze; Perle; Robert Linhard; Karpov; G. Arbatov; P. Palazhchenko; Ronald Reagan; Mikhail S. Gorbachev; Weinberger,SDI; Strategic Arms; Nuclear Testing,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d307,,,
frus1981-88v05-d308,308,FRUS 1981-1988 v05,historical-document,Memorandum of Conversation,1986-10-12,"October 12, 1986, 3:25–4:30 p.m.",Reykjavik,summit,Session IV - October 12 afternoon (final plenary),Reagan-Gorbachev,Hofdi House,Paul H. Nitze; Simons; Ronald Reagan; George P. Shultz; Mikhail S. Gorbachev; Eduard A. Shevardnadze; P. Palazhchenko; N. Uspenskiy; Ridgway; Linhard; Richard [Perle],SDI; INF; Strategic Arms,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d308,,,
frus1981-88v05-d309,309,FRUS 1981-1988 v05,editorial-note,Editorial Note,1986-10-12,,,summit,,,,Ronald Reagan; Mikhail S. Gorbachev; Pavel Palazhchenko; George P. Shultz; Eduard A. Shevardnadze,SDI; INF; Strategic Arms,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d309,,,
foia-n/a,,foia.state.gov,declassified,RAISE THE ISSUE OF RAOUL WALLENBERG W GEN SEC GORBACHEV,1986-10-16,"October 16, 1986",,aftermath,,,,Mikhail S. Gorbachev,,True,https://foia.state.gov/DOCUMENTS\wallenberg\2301.PDF,n/a,General correspondence,UNCLASS
frus1981-88v06-d3,3,FRUS 1981-1988 v06,historical-document,Minutes of a National Security Planning Group Meeting,1986-10-27,"October 27, 1986, 11 a.m.–noon",Washington,aftermath,,,,Linton Brooks; George P. Shultz; James Baker; Caspar Weinberger; Richard Perle; John Herrington; James Miller; Kenneth L. Adelman; William J. Crowe; John Moellering; Regan; John M. Poindexter; Alton J. Keel; William Cockell; Robert Linhard; Paul H. Nitze; Edward Rowny; Ronald Reagan; Mikhail S. Gorbachev; Kohl; Thatcher; Viktor Karpov; Shevardnadze; Dubinin; Baker,SDI; INF; Strategic Arms; Nuclear Testing,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d3,,,
frus1981-88v06-d4,4,FRUS 1981-1988 v06,historical-document,Telegram From the Embassy in the Soviet Union to the Department of State,1986-10-31,"October 31, 1986, 1555Z",Moscow,aftermath,,,,Paul H. Nitze; John M. Poindexter; Hartman; Shevardnadze; Karpov; Dubinin,SDI; INF; Strategic Arms; Human Rights; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d4,,,
frus1981-88v06-d5,5,FRUS 1981-1988 v06,historical-document,Memorandum From the President’s Assistant for National Security Affairs (Poindexter) to Secretary of State Shultz,1986-11-03,"November 3, 1986",Washington,aftermath,,,,John M. Poindexter; George P. Shultz; Shevardnadze; Ronald Reagan; Mikhail S. Gorbachev,SDI; INF; Strategic Arms; Nuclear Testing; Human Rights; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d5,,,
frus1981-88v06-d6,6,FRUS 1981-1988 v06,historical-document,Memorandum of Conversation,1986-11-05,"November 5, 1986, 3:55–6:55 p.m. and 7:05–7:15 p.m.",Vienna,aftermath,,,,George P. Shultz; Shevardnadze; Simons; P. Palazhchenko; Mikhail S. Gorbachev; Hartman; Regan; John M. Poindexter; Ronald Reagan; Bessmertnykh; Ridgway; Kampelman; Paul H. Nitze; Akhromeyev,SDI; INF; Strategic Arms; Nuclear Testing; Human Rights; Regional Issues; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d6,,,
frus1981-88v06-d7,7,FRUS 1981-1988 v06,historical-document,Memorandum of Conversation,1986-11-06,"November 6, 1986, 8:05–9:40 a.m.",Vienna,aftermath,,,,George P. Shultz; Shevardnadze; Ridgway; Paul H. Nitze; Hartman; Kampelman; Jack F. Matlock Jr.; Robert Linhard; Parris; Bessmertnykh; Karpov; Palazhchenko; Mikhail S. Gorbachev; Wick; Howe; Dubinin,SDI; INF; Strategic Arms; Human Rights; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d7,,,
foia-C05426367,,foia.state.gov,declassified,YOUR MEETING WITH UK PRIME MINISTER THATCHER NOVEMBER 14 AT 5:30 P.M.,1986-11-13,"November 13, 1986",,aftermath,,,,George P. Shultz,,True,https://foia.state.gov/DOCUMENTS/6-FY2014/F-2006-01579/DOC_0C05426367/C05426367.pdf,F-2006-01579,Memorandum,Secret
frus1981-88v06-d8,8,FRUS 1981-1988 v06,historical-document,Memorandum From Secretary of State Shultz to President Reagan,1986-11-14,"November 14, 1986",Washington,aftermath,,,,George P. Shultz; Ronald Reagan; Jack F. Matlock Jr.; Keel; Thatcher; Shevardnadze; Armacost; Vorontsov,SDI; INF; Strategic Arms; Nuclear Testing; Human Rights; Regional Issues; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d8,,,
foia-C05426418,,foia.state.gov,declassified,EVENING READING ITEM MY MEETING WITH MINISTER THATCHER,1986-11-14,"November 14, 1986",,aftermath,,,,George P. Shultz,,True,https://foia.state.gov/DOCUMENTS/6-FY2014/F-2006-01579/DOC_0C05426418/C05426418.pdf,F-2006-01579,Miscellaneous,Secret
foia-C05870942,,foia.state.gov,declassified,POSSIBLE GORBACHEV TRIP TO LATIN AMERICA,1986-11-18,"November 18, 1986",,aftermath,,,,Mikhail S. Gorbachev,,True,https://foia.state.gov/DOCUMENTS/Oct15Feb16/F-2014-20865/DOC_0C05870942/C05870942.pdf,F-2014-20865,Telegram,Confidential
frus1981-88v06-d10,10,FRUS 1981-1988 v06,historical-document,Paper Prepared in the National Security Council,1986-12-31,"December 31, 1986",Washington,aftermath,,,,Keel; Ronald Reagan,,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d10,,,
